"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C2A","question_order","values","sum","mean","median","min","max","count","variance","sd","frequencies","all","subset","choices","advice_choose","give_outcome","image","random_outcome","C2B","partner_advice"
"1063.1000000238419","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>"," ","html-keyboard-response","0","1068","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"549.1000000238419","<p style=""color:white;"">In this task, you will see blended images of scenes and faces. Some images will have more ""face"" while other images will have more ""scene"". <br br> For example, the left image has more ""scene"", and the right image has more ""face"".<p class='imgContainer'><img src='images/10_X.jpg' ></img> </p><p class='imgContainer'><img src='images/2_X.jpg' ></img> </p><p style='color:white;'>Press the space bar to continue.</p>"," ","html-keyboard-response","1","1618","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","",""
"516.8999999761581","<p style=""color:white;""> You must decide whether each image has more ""scene"" or more ""face"", and press the response key for either ""scene"" or ""face"".  </p> <p style=""color:white;""> You will be asked to rate your confidence of your classification after choosing. </p><p style=""color:white;"">Press the space bar to continue.</p>"," ","html-keyboard-response","2","2135","0.0-2.0","","","","","","","","","","","","","","","","","","","","","","",""
"516.7000000476837","<p style=""color:white;"">You will be asked to choose to accept advice about whether the image is more ""Face"" or more ""Scene"" <strong> or </strong> choose to offer advice to your partner about whether the image is more ""Face"" or more ""Scene"". </p> <p style=""color:white;""> Your partner will be given the same choice. </p> <p style=""color:white;"">If you agree on the same action, you will be given that information. </p> <p style=""color:white;"">If you do not agree with your partner, either you or your partner will be randomly selected to give advice about the image to the other person. </p> <p style=""color:white;""> <strong> Your goal is to correctly identify as many images as possible, and the performance of your partner will not impact your score. </strong></p> <p style=""color:white;"">Here are some practice trials â€“ press the space bar to proceed.</p> "," ","html-keyboard-response","3","2653","0.0-3.0","","","","","","","","","","","","","","","","","","","","","","",""
"1667.7999999523163","images/10/1_1.jpg","0","image-button-response","4","4826","0.0-4.0-0.0","c1_train",",","0","","","","","","","","","","","","","","","","","","","",""
"1605.5","","{""Q0"":3}","survey-likert","5","6434","0.0-4.0-1.0","","","","[0]","[]","0","NaN","","Infinity","-Infinity","0","0","0","{}","true","{""values"":[]}","","","","","","",""
"594.3999999761581","","0","html-button-response","6","7029","0.0-4.0-2.0","","","","","","","","","","","","","","","","","[""Give advice"",""Accept advice""]","0","","","","",""
"493.7000000476837","<p style=""color:white;""> You elected to give advice, and your partner did not agree</p><p style=""color:white;""> Press the space bar to continue </p>"," ","html-keyboard-response","7","7524","0.0-4.0-3.0-1.0-0.0","","","","","","","","","","","","","","","","","","","did not agree","images/10/1_1.jpg","","",""
"235.60000002384186","<p style=""color:white;""> You have been randomly selected to give advice</p><p style=""color:white;""> Press the space bar to continue </p>"," ","html-keyboard-response","8","7761","0.0-4.0-3.0-1.0-1.0-0.0","","","","","","","","","","","","","","","","","","","","images/10/1_1.jpg","give advice","",""
"607.2999999523163","<p style=""color:white;""> What would you like to tell your partner about the image? </p>","0","html-button-response","9","8369","0.0-4.0-3.0-1.0-1.0-1.0","","","","","","","","","","","","","","","","","","","","images/10/1_1.jpg","","",""
"1511.7999999523163","images/10/1_1.jpg","0","image-button-response","10","9882","0.0-4.0-5.0","c1_train",",","","","","","","","","","","","","","","","","","","","","0",""
"1331.3999999761581","","{""Q0"":3}","survey-likert","11","11215","0.0-4.0-6.0","","","","[0]","[]","0","NaN","","Infinity","-Infinity","0","0","0","{}","true","{""values"":[]}","","","","","","",""
"605.7999999523163","images/10/8_4.jpg","0","image-button-response","12","11823","0.0-4.0-0.1","c1_train",".","0","","","","","","","","","","","","","","","","","","","",""
"1686.2999999523163","","{""Q0"":3}","survey-likert","13","13511","0.0-4.0-1.1","","","","[0]","[]","0","NaN","","Infinity","-Infinity","0","0","0","{}","true","{""values"":[]}","","","","","","",""
"594.3999999761581","","0","html-button-response","14","14107","0.0-4.0-2.1","","","","","","","","","","","","","","","","","[""Give advice"",""Accept advice""]","0","","","","",""
"471.59999990463257","<p style=""color:white;""> You elected to give advice, and your partner did not agree</p><p style=""color:white;""> Press the space bar to continue </p>"," ","html-keyboard-response","15","14579","0.0-4.0-3.1-1.1-0.1","","","","","","","","","","","","","","","","","","","did not agree","images/10/8_4.jpg","","",""
"313.39999997615814","<p style=""color:white;""> You have been randomly selected to recieve advice</p><p style=""color:white;""> Press the space bar to continue </p>"," ","html-keyboard-response","16","14893","0.0-4.0-3.1-1.1-2.1-0.1","","","","","","","","","","","","","","","","","","","","images/10/8_4.jpg","recieve advice","",""
"224","<p style=""color:white;""> Your partner tells you the image is a Face</p><p style=""color:white;""> Press the space bar to continue </p>"," ","html-keyboard-response","17","15118","0.0-4.0-3.1-1.1-2.1-1.1-0.1","","","","","","","","","","","","","","","","","","","","images/10/8_4.jpg","","","Face"
"1124","images/10/8_4.jpg","0","image-button-response","18","16244","0.0-4.0-5.1","c1_train",".","","","","","","","","","","","","","","","","","","","","0",""
"2811.100000023842","","{""Q0"":3}","survey-likert","19","19057","0.0-4.0-6.1","","","","[0]","[]","0","NaN","","Infinity","-Infinity","0","0","0","{}","true","{""values"":[]}","","","","","","",""
"773.2999999523163","images/10/5_13.jpg","0","image-button-response","20","19833","0.0-4.0-0.2","c1_train",",","0","","","","","","","","","","","","","","","","","","","",""
"1832.4000000953674","","{""Q0"":3}","survey-likert","21","21667","0.0-4.0-1.2","","","","[0]","[]","0","NaN","","Infinity","-Infinity","0","0","0","{}","true","{""values"":[]}","","","","","","",""
"572","","0","html-button-response","22","22240","0.0-4.0-2.2","","","","","","","","","","","","","","","","","[""Give advice"",""Accept advice""]","0","","","","",""
"413.59999990463257","<p style=""color:white;""> You elected to give advice, and your partner would like your advice</p><p style=""color:white;""> Press the space bar to continue </p>"," ","html-keyboard-response","23","22655","0.0-4.0-3.2-0.2-0.2","","","","","","","","","","","","","","","","","","","would like your advice","images/10/5_13.jpg","","",""
"776","<p style=""color:white;""> What would you like to tell your partner about the image? </p>","0","html-button-response","24","23432","0.0-4.0-3.2-0.2-1.2","","","","","","","","","","","","","","","","","","","","images/10/5_13.jpg","","",""
"1044.3999999761581","images/10/5_13.jpg","0","image-button-response","25","24479","0.0-4.0-5.2","c1_train",",","","","","","","","","","","","","","","","","","","","","0",""
"2056.899999976158","","{""Q0"":3}","survey-likert","26","26537","0.0-4.0-6.2","","","","[0]","[]","0","NaN","","Infinity","-Infinity","0","0","0","{}","true","{""values"":[]}","","","","","","",""
"494.09999990463257","<p style=""color:white;""> Remember: your goal is to correctly identify as many images as possible, and  <strong> the performance of your partner will not impact your score. </strong></p> <p style=""color:white;""> You will recieve a monetary bonus of $2 if you are among the top scorers on the HIT. </p> <p style=""color:white;"">Press the space bar when you are ready to start! </p>"," ","html-keyboard-response","27","27032","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","",""
"830.7999999523163","<p style=""color:white;""> Finding your partner for the HIT...let us begin! </p> <p <div class=""loader"">Loading...</div> </p><p style=""color:white;"">Press the space bar when you are ready to start </p>"," ","html-keyboard-response","28","28867","0.0-6.0","","","","","","","","","","","","","","","","","","","","","","",""
"1669.8000000715256","images/10/8_4.jpg","0","image-button-response","29","33040","0.0-7.0-0.0","c1_train",".","0","","","","","","","","","","","","","","","","","","","",""
"1674.8999999761581","","{""Q0"":3}","survey-likert","30","34717","0.0-7.0-1.0","","","","[0]","[]","0","NaN","","Infinity","-Infinity","0","0","0","{}","true","{""values"":[]}","","","","","","",""
"1010.2999999523163","","0","html-button-response","31","35729","0.0-7.0-2.0","","","","","","","","","","","","","","","","","[""Give advice"",""Accept advice""]","0","","","","",""
"449.2999999523163","<p style=""color:white;""> You elected to give advice, and your partner did not agree</p><p style=""color:white;""> Press the space bar to continue </p>"," ","html-keyboard-response","32","36179","0.0-7.0-3.0-1.0-0.0","","","","","","","","","","","","","","","","","","","did not agree","images/10/8_4.jpg","","",""
"301.89999997615814","<p style=""color:white;""> You have been randomly selected to recieve advice</p><p style=""color:white;""> Press the space bar to continue </p>"," ","html-keyboard-response","33","36482","0.0-7.0-3.0-1.0-2.0-0.0","","","","","","","","","","","","","","","","","","","","images/10/8_4.jpg","recieve advice","",""
"246.39999997615814","<p style=""color:white;""> Your partner tells you the image is a Face</p><p style=""color:white;""> Press the space bar to continue </p>"," ","html-keyboard-response","34","36730","0.0-7.0-3.0-1.0-2.0-1.0-0.0","","","","","","","","","","","","","","","","","","","","images/10/8_4.jpg","","","Face"
"1202.6999999284744","images/10/8_4.jpg","0","image-button-response","35","37935","0.0-7.0-5.0","c1_train",".","","","","","","","","","","","","","","","","","","","","0",""
"1315.8000000715256","","{""Q0"":3}","survey-likert","36","39253","0.0-7.0-6.0","","","","[0]","[]","0","NaN","","Infinity","-Infinity","0","0","0","{}","true","{""values"":[]}","","","","","","",""
"827.5","images/10/5_13.jpg","0","image-button-response","37","40082","0.0-7.0-0.1","c1_train",",","0","","","","","","","","","","","","","","","","","","","",""
"1731.3000000715256","","{""Q0"":3}","survey-likert","38","41815","0.0-7.0-1.1","","","","[0]","[]","0","NaN","","Infinity","-Infinity","0","0","0","{}","true","{""values"":[]}","","","","","","",""
"583.5","","0","html-button-response","39","42401","0.0-7.0-2.1","","","","","","","","","","","","","","","","","[""Give advice"",""Accept advice""]","0","","","","",""
"459.2000000476837","<p style=""color:white;""> You elected to give advice, and your partner would like your advice</p><p style=""color:white;""> Press the space bar to continue </p>"," ","html-keyboard-response","40","42861","0.0-7.0-3.1-0.1-0.1","","","","","","","","","","","","","","","","","","","would like your advice","images/10/5_13.jpg","","",""
"708.2000000476837","<p style=""color:white;""> What would you like to tell your partner about the image? </p>","0","html-button-response","41","43571","0.0-7.0-3.1-0.1-1.1","","","","","","","","","","","","","","","","","","","","images/10/5_13.jpg","","",""
"672.6000000238419","images/10/5_13.jpg","0","image-button-response","42","44245","0.0-7.0-5.1","c1_train",",","","","","","","","","","","","","","","","","","","","","0",""
"1922.6999999284744","","{""Q0"":3}","survey-likert","43","46170","0.0-7.0-6.1","","","","[0]","[]","0","NaN","","Infinity","-Infinity","0","0","0","{}","true","{""values"":[]}","","","","","","",""
"583.5","images/10/1_1.jpg","0","image-button-response","44","46756","0.0-7.0-0.2","c1_train",",","0","","","","","","","","","","","","","","","","","","","",""
"1841.3999999761581","","{""Q0"":3}","survey-likert","45","48600","0.0-7.0-1.2","","","","[0]","[]","0","NaN","","Infinity","-Infinity","0","0","0","{}","true","{""values"":[]}","","","","","","",""
"593.8999999761581","","0","html-button-response","46","49196","0.0-7.0-2.2","","","","","","","","","","","","","","","","","[""Give advice"",""Accept advice""]","0","","","","",""
"471.3000000715256","<p style=""color:white;""> You elected to give advice, and your partner did not agree</p><p style=""color:white;""> Press the space bar to continue </p>"," ","html-keyboard-response","47","49668","0.0-7.0-3.2-1.2-0.2","","","","","","","","","","","","","","","","","","","did not agree","images/10/1_1.jpg","","",""
"358.1999999284744","<p style=""color:white;""> You have been randomly selected to give advice</p><p style=""color:white;""> Press the space bar to continue </p>"," ","html-keyboard-response","48","50027","0.0-7.0-3.2-1.2-1.2-0.2","","","","","","","","","","","","","","","","","","","","images/10/1_1.jpg","give advice","",""
"663.5999999046326","<p style=""color:white;""> What would you like to tell your partner about the image? </p>","0","html-button-response","49","50692","0.0-7.0-3.2-1.2-1.2-1.2","","","","","","","","","","","","","","","","","","","","images/10/1_1.jpg","","",""
"1257.6999999284744","images/10/1_1.jpg","0","image-button-response","50","51952","0.0-7.0-5.2","c1_train",",","","","","","","","","","","","","","","","","","","","","0",""
"1292","","{""Q0"":3}","survey-likert","51","53246","0.0-7.0-6.2","","","","[0]","[]","0","NaN","","Infinity","-Infinity","0","0","0","{}","true","{""values"":[]}","","","","","","",""
"null","<p style=""color:white;"">You have now completed the task! Saving data...PLEASE DO NOT CLOSE THIS BROWSER until you complete the second part.</p> <p style=""color:white;"">BEFORE THE LINK DISAPPEARS please move on to the second part of the task at this link to obtain your completion code:</p> <a href=https://yalesurvey.ca1.qualtrics.com/jfe/form/SV_3WtH6yUsp996JZc target=""_blank"">https://yalesurvey.ca1.qualtrics.com/jfe/form/SV_3WtH6yUsp996JZc</a>","null","html-keyboard-response","52","94234","0.0-8.0","","","","","","","","","","","","","","","","","","","","","","",""
